pointID,X,Y,Buffer_type,Area2000_road,Area2000_ref,Area2000_AC,Area2000_RC,Area2020_road,Area2020_ref,Area2020_AC,Area2020_RC,H2000_road,H2000_ref,H2000_AC,H2000_RC,H2020_road,H2020_ref,H2020_AC,H2020_RC,PD2000_road,PD2000_ref,PD2000_AC,PD2000_RC,PD2020_road,PD2020_ref,PD2020_AC,PD2020_RC,NPP2000_road,NPP2000_ref,NPP2000_AC,NPP2000_RC,NPP2020_road,NPP2020_ref,NPP2020_AC,NPP2020_RC,Area_AC_trend,Area_RC_trend,H_AC_trend,H_RC_trend,PD_AC_trend,PD_RC_trend,NPP_AC_trend,NPP_RC_trend,CEI_Diff,Nearest_Ref_Distance,Ref_Points_Used
10511.0000,-5701444.2710,-504465.7293,4.0000,89.0000,99.8650,-10.8650,-5.7528,89.0000,99.8536,-10.8536,-5.7471,25.3300,27.5396,-2.2096,-4.1793,24.9300,26.9744,-2.0444,-3.9387,1.0000,1.0007,-0.0007,-0.0371,1.0000,1.0885,-0.0885,-4.2355,1305.0000,1277.0631,27.9369,1.0820,1316.1000,1347.3115,-31.2115,-1.1719,0.0114,0.0527,0.1652,3.8840,-0.0877,-98.3369,-59.1484,-100.0000,0.0145,4242.6407,1101
10512.0000,-5700444.2710,-504465.7293,5.0000,100.0000,99.8636,0.1364,0.0683,89.0000,99.8511,-10.8511,-5.7458,20.5500,27.5090,-6.9590,-14.4801,20.4500,26.9354,-6.4854,-13.6866,1.0000,1.0008,-0.0008,-0.0390,1.0000,1.0971,-0.0971,-4.6313,1315.2000,1275.8379,39.3621,1.5192,1370.8000,1346.1932,24.6068,0.9057,-10.9875,-100.0000,0.4735,3.5221,-0.0963,-98.4046,-14.7554,-23.0665,0.0143,5000.0000,1090
10513.0000,-5699444.2710,-504465.7293,5.0000,100.0000,99.9090,0.0910,0.0455,100.0000,99.9000,0.1000,0.0500,28.1400,27.7033,0.4367,0.7820,27.5900,27.0090,0.5810,1.0641,1.0000,1.0089,-0.0089,-0.4437,1.0000,1.0320,-0.0320,-1.5736,1287.8000,1267.6670,20.1330,0.7878,1323.4000,1339.0608,-15.6608,-0.5882,0.0090,4.6959,0.1443,14.1808,-0.0231,-56.3988,-35.7938,-100.0000,0.0001,5656.8542,1078
10514.0000,-5698444.2710,-504465.7293,6.0000,100.0000,99.9437,0.0563,0.0282,100.0000,99.9327,0.0673,0.0336,28.0000,27.6935,0.3065,0.5502,27.8400,27.0217,0.8183,1.4916,1.0000,1.0102,-0.0102,-0.5082,1.0000,1.0424,-0.0424,-2.0754,1233.9000,1268.1822,-34.2822,-1.3701,1343.2000,1338.3587,4.8413,0.1805,0.0110,8.8754,0.5119,45.5096,-0.0322,-61.1582,39.1235,100.0000,0.0012,6403.1242,1066
10515.0000,-5697444.2710,-504465.7293,6.0000,100.0000,99.9332,0.0668,0.0334,100.0000,99.9350,0.0650,0.0325,27.2300,27.6753,-0.4453,-0.8110,26.9900,27.0141,-0.0241,-0.0447,1.0000,1.0106,-0.0106,-0.5254,1.0000,1.0405,-0.0405,-1.9857,1235.1000,1268.5165,-33.4165,-1.3347,1344.5000,1337.5568,6.9432,0.2589,-0.0018,-1.3356,0.4211,89.7160,-0.0300,-58.6415,40.3597,100.0000,0.0007,7071.0678,1054
10516.0000,-5696444.2710,-504465.7293,6.0000,100.0000,99.8729,0.1271,0.0636,100.0000,99.8544,0.1456,0.0728,27.9600,27.4539,0.5061,0.9133,27.6600,26.8600,0.8000,1.4674,1.0000,1.0009,-0.0009,-0.0429,1.0000,1.1271,-0.1271,-5.9750,1254.7000,1270.3735,-15.6735,-0.6207,1286.2000,1341.3721,-55.1721,-2.0997,0.0185,6.7825,0.2939,22.5032,-0.1262,-98.6590,-39.4986,-55.7531,0.0167,7071.0678,1042
10517.0000,-5695444.2710,-504465.7293,6.0000,100.0000,99.8921,0.1079,0.0540,100.0000,99.9031,0.0969,0.0485,27.6300,27.4992,0.1308,0.2372,26.4100,26.9346,-0.5246,-0.9834,1.0000,1.0008,-0.0008,-0.0376,1.0000,1.1071,-0.1071,-5.0849,1184.2000,1268.6697,-84.4697,-3.4437,1366.5000,1338.4122,28.0878,1.0384,-0.0110,-5.3501,-0.6553,-100.0000,-0.1064,-98.6046,112.5576,100.0000,0.0050,6403.1242,1029
10518.0000,-5694444.2710,-504465.7293,5.0000,100.0000,99.9275,0.0725,0.0363,100.0000,99.9115,0.0885,0.0443,28.1800,27.5547,0.6253,1.1219,27.7500,26.8983,0.8517,1.5586,1.0000,1.0115,-0.0115,-0.5701,1.0000,1.0297,-0.0297,-1.4625,1186.8000,1266.3554,-79.5554,-3.2430,1339.1000,1334.2537,4.8463,0.1813,0.0160,9.9134,0.2265,15.3333,-0.0182,-44.2657,84.4017,100.0000,0.0002,5656.8542,1015
10519.0000,-5693444.2710,-504465.7293,5.0000,100.0000,99.9650,0.0350,0.0175,100.0000,99.9419,0.0581,0.0291,27.8500,27.5981,0.2519,0.4543,27.4200,27.0034,0.4166,0.7655,1.0000,1.0000,0.0000,0.0000,1.0000,1.0318,-0.0318,-1.5670,1256.1000,1267.6704,-11.5704,-0.4585,1355.3000,1333.8260,21.4740,0.7986,0.0231,24.8075,0.1647,24.6361,-0.0318,-100.0000,33.0444,100.0000,0.0015,5000.0000,1001
10520.0000,-5692444.2710,-504465.7293,4.0000,100.0000,99.9563,0.0437,0.0218,100.0000,99.9378,0.0622,0.0311,26.4200,27.5329,-1.1129,-2.0627,25.8100,26.9543,-1.1443,-2.1688,1.0000,1.0126,-0.0126,-0.6279,1.0000,1.0492,-0.0492,-2.4016,1231.6000,1266.1501,-34.5501,-1.3833,1306.4000,1333.1932,-26.7932,-1.0150,0.0185,17.5137,-0.0315,-1.3947,-0.0366,-59.1373,7.7570,12.6452,0.0009,4123.1056,987
10521.0000,-5691444.2710,-504465.7293,4.0000,100.0000,99.9363,0.0637,0.0319,100.0000,99.9160,0.0840,0.0420,27.1200,27.4515,-0.3315,-0.6074,26.1700,26.8114,-0.6414,-1.2106,1.0000,1.0124,-0.0124,-0.6168,1.0000,1.0289,-0.0289,-1.4262,1295.3000,1265.5434,29.7566,1.1620,1239.0000,1331.2724,-92.2724,-3.5900,0.0203,13.7666,-0.3099,-31.8566,-0.0165,-39.9641,-122.0290,-100.0000,0.0002,3162.2777,972
10522.0000,-5690444.2710,-504465.7293,3.0000,100.0000,99.9604,0.0396,0.0198,100.0000,99.9402,0.0598,0.0299,27.4500,27.4936,-0.0436,-0.0793,26.6900,26.9547,-0.2647,-0.4935,1.0000,1.0126,-0.0126,-0.6242,1.0000,1.0537,-0.0537,-2.6127,1273.8000,1265.1862,8.6138,0.3393,1292.0000,1333.0997,-41.0997,-1.5656,0.0203,20.3971,-0.2211,-71.7247,-0.0411,-62.0584,-49.7135,-100.0000,0.0014,2236.0680,957
10523.0000,-5689444.2710,-504465.7293,2.0000,100.0000,99.9708,0.0292,0.0146,100.0000,99.9694,0.0306,0.0153,28.8500,27.5827,1.2673,2.2457,28.3800,27.0889,1.2911,2.3276,1.0000,1.0000,0.0000,0.0000,1.0000,1.0538,-0.0538,-2.6217,1182.6000,1261.5639,-78.9639,-3.2307,1354.0000,1335.8242,18.1758,0.6757,0.0014,2.3016,0.0238,0.9294,-0.0538,-100.0000,97.1396,100.0000,0.0009,1414.2136,942
