pointID,X,Y,Buffer_type,Area2000,Area2020,H2000,H2020,PD2000,PD2020,NPP2000,NPP2020,NTL2000,NTL2020,Windowflag,ForestChange,Plantations
14273,-5739444.271,-523465.7293,1,100,100,28.06,26.59,1,1,1341.7,1410.7,0,0,1,0,0
14274,-5738444.271,-523465.7293,1,100,100,27.06,26.23,1,1,1373.9,1394.1,0,0,1,0,0
14275,-5737444.271,-523465.7293,1,100,100,26.84,25.75,1,1,1341.7,1354.3,0,0,1,0,0
14276,-5736444.271,-523465.7293,1,100,100,27.58,26.84,1,1,1346.1,1327.2,0,0,1,0,0
14277,-5735444.271,-523465.7293,1,100,100,27.63,27.36,1,1,1377.7,1356.4,0,0,1,0,0
14278,-5734444.271,-523465.7293,1,100,100,28.65,27.88,1,1,1354.9,1309.7,0,0,1,0,0
14279,-5733444.271,-523465.7293,1,100,100,28.05,26.82,1,1,1340.5,1378.5,0,0,1,0,0
14280,-5732444.271,-523465.7293,1,100,100,27.47,26.54,1,1,1345.1,1376.1,0,0,1,0,0
14281,-5731444.271,-523465.7293,1,100,100,27.92,27.7,1,1,1353.1,1365.3,0,0,1,0,0
14282,-5730444.271,-523465.7293,1,100,100,28.39,27.63,1,1,1270,1383.8,0,0,1,0,0
14283,-5729444.271,-523465.7293,1,100,100,28.04,27.81,1,1,1159.5,1336.3,0,0,1,0,0
14284,-5728444.271,-523465.7293,1,100,100,28,27.76,1,1,1112.1,1307.9,0,0,1,0,0
14285,-5727444.271,-523465.7293,1,100,100,27.99,28.01,1,1,1111.1,1268.7,0,0,1,0,0
14286,-5726444.271,-523465.7293,1,100,100,28.4,28.81,1,1,1291.8,1332.8,0,0,1,0,0
14287,-5725444.271,-523465.7293,1,100,100,28.13,28.22,1,1,1299.8,1176.2,0,0,1,0,0
14288,-5724444.271,-523465.7293,1,100,100,28.45,28.37,1,1,1264.9,1317.8,0,0,1,0,0
14289,-5723444.271,-523465.7293,1,100,100,27.8,27.92,1,1,1264,1390,0,0,1,0,0
14290,-5722444.271,-523465.7293,1,100,100,26.19,26.31,1,1,1307.3,1320.4,0,0,1,0,0
14291,-5721444.271,-523465.7293,1,100,100,27.21,26.94,1,1,1282.3,1302.8,0,0,1,0,0
14292,-5720444.271,-523465.7293,1,100,100,28.07,28.14,1,1,1275.9,1350.8,0,0,1,0,0
14293,-5719444.271,-523465.7293,1,100,100,27.34,27.22,1,1,1303.1,1237,0,0,1,0,0
14294,-5718444.271,-523465.7293,1,100,100,26.24,25.81,1,1,1288.1,1335.5,0,0,1,0,0
14295,-5717444.271,-523465.7293,1,100,100,27.01,26.47,1,1,1288.6,1281.9,0,0,1,0,0
14296,-5716444.271,-523465.7293,1,100,100,28.24,27.8,1,1,1285.1,1211.1,0,0,1,0,0
14297,-5715444.271,-523465.7293,1,100,100,28.32,27.68,1,1,1193.5,1301.4,0,0,1,0,0
14298,-5714444.271,-523465.7293,1,100,100,28.84,28.79,1,1,1290,1328.8,0,0,1,0,0
14299,-5713444.271,-523465.7293,1,100,100,28.39,28.34,1,1,1306.6,1376.8,0,0,1,0,0
14300,-5712444.271,-523465.7293,1,100,100,27.74,27.39,1,1,1317.5,1345.4,0,0,1,0,0
14301,-5711444.271,-523465.7293,1,100,100,26.62,26.74,1,1,1320.3,1321.1,0,0,1,0,0
14302,-5710444.271,-523465.7293,1,100,100,27.82,27.01,1,1,1227.1,1355.4,0,0,1,0,0
14303,-5709444.271,-523465.7293,1,100,100,29.24,28.25,1,1,1258.9,1370.5,0,0,1,0,0
14304,-5708444.271,-523465.7293,1,100,100,27.79,27.06,1,1,1276.1,1376.1,0,0,1,0,0
14305,-5707444.271,-523465.7293,1,100,100,27.36,26.93,1,1,1300.2,1290.1,0,0,1,0,0
14306,-5706444.271,-523465.7293,1,100,100,26.83,25.5,1,1,1283.2,1294.4,0,0,1,0,0
14307,-5705444.271,-523465.7293,1,100,100,26.14,25.03,1,1,1275.2,1324.3,0,0,1,0,0
14308,-5704444.271,-523465.7293,1,100,100,26.98,26.02,1,1,1303.8,1316.5,0,0,1,0,0
14309,-5703444.271,-523465.7293,1,100,100,27.61,27.07,1,1,1268.3,1329.8,0,0,1,0,0
14310,-5702444.271,-523465.7293,1,100,100,28.38,27.34,1,1,1254.7,1313.2,0,0,1,0,0
14311,-5701444.271,-523465.7293,1,100,100,27.15,25.76,1,1,1259.3,1278.6,0,0,1,0,0
14312,-5700444.271,-523465.7293,1,100,100,26.9,26.45,1,1,1239.8,1313,0,0,1,0,0
14313,-5699444.271,-523465.7293,1,100,100,26.54,25.09,1,1,1276.8,1257.5,0,0,1,0,0
14314,-5698444.271,-523465.7293,1,100,100,29.06,28.14,1,1,1258.6,1351.7,0,0,1,0,0
14315,-5697444.271,-523465.7293,1,100,100,28.16,27.99,1,1,1219,1348.7,0,0,1,0,0
14316,-5696444.271,-523465.7293,1,100,100,27.47,27.12,1,1,1278.3,1382.4,0,0,1,0,0
14317,-5695444.271,-523465.7293,1,94,100,23.04,22.96,1,1,1299.5,1301.6,0,0,1,0,0
14318,-5694444.271,-523465.7293,1,80,94,22.87,22.33,1,1,1304.3,1329.1,0,0,1,0,0
14319,-5693444.271,-523465.7293,1,100,80,25.02,24.33,1,1,1283.9,1340.8,0,0,1,0,0
14320,-5692444.271,-523465.7293,1,100,100,26.91,25.15,1,1,1276,1339.9,0,0,1,0,0
14321,-5691444.271,-523465.7293,1,100,100,28.6,27.47,1,1,1171.4,1313.2,0,0,1,0,0
14322,-5690444.271,-523465.7293,1,100,100,27.58,26.7,1,1,1254.2,1334.6,0,0,1,0,0
14323,-5689444.271,-523465.7293,1,100,100,26.7,25.91,1,1,1244.4,1297.2,0,0,1,0,0
14324,-5688444.271,-523465.7293,2,100,100,26.36,25.04,1,1,1260.3,1334.4,0,0,1,0,0
14325,-5687444.271,-523465.7293,2,100,100,27.47,26.95,1,1,1244.8,1345.4,0,0,1,0,0
14326,-5686444.271,-523465.7293,3,100,100,26.44,26.03,1,1,1227.1,1319.9,0,0,1,0,0
14327,-5685444.271,-523465.7293,4,100,100,26.51,25.48,1,1,1258.9,1329.6,0,0,1,0,0
14328,-5684444.271,-523465.7293,5,100,100,26.03,25.83,1,1,1306.4,1371.6,0,0,1,0,0
14329,-5683444.271,-523465.7293,6,100,100,24.35,24.56,1,1,1272.4,1349.5,0,0,1,0,0
14401,-5811444.271,-524465.7293,1,100,100,28.44,28.5,1,1,1287.9,1335.9,0,0,0,0,0
14402,-5810444.271,-524465.7293,1,100,100,28.38,27.74,1,1,1282.1,1343,0,0,0,0,0
14403,-5809444.271,-524465.7293,1,100,100,26.79,26.45,1,1,1313.4,1344.1,0,0,0,0,0
14404,-5808444.271,-524465.7293,1,100,100,26.83,26.11,1,1,1296.4,1358.9,0,0,0,0,0
14405,-5807444.271,-524465.7293,1,100,100,26.55,25.42,1,1,1306.9,1261.3,0,0,0,-7,0
14406,-5806444.271,-524465.7293,1,100,100,26.89,26.39,1,1,1264.4,1368.8,0,0,0,-54,0
14407,-5805444.271,-524465.7293,1,100,100,26.95,26.33,1,1,1282,1377.9,0,0,0,-5,0
14408,-5804444.271,-524465.7293,1,100,100,27.36,26.71,1,1,1301.5,1325.2,0,0,0,-1,0
14409,-5803444.271,-524465.7293,1,100,100,26.1,25.3,1,1,1286.9,1356.8,0,0,0,0,0
14410,-5802444.271,-524465.7293,1,100,100,26.31,25.17,1,1,1297.5,1346.3,0,0,0,-17,0
14411,-5801444.271,-524465.7293,1,100,100,25.39,24.39,1,1,1296.8,1393.8,0,0,0,-22,0
14412,-5800444.271,-524465.7293,1,100,100,23.34,22.7,1,1,1294.3,1398.8,0,0,0,0,0
14413,-5799444.271,-524465.7293,1,100,100,26.02,24.99,1,1,1260.2,1398.6,0,0,0,-14,0
14414,-5798444.271,-524465.7293,1,100,100,27.68,26.98,1,1,1243.6,1355.5,0,0,0,0,0
14415,-5797444.271,-524465.7293,1,100,100,28.35,26.81,1,1,1193.8,1320.6,0,0,0,0,0
14416,-5796444.271,-524465.7293,1,100,100,27.39,25.45,1,1,1297.7,1395.1,0,0,0,0,0
14417,-5795444.271,-524465.7293,1,100,100,28.67,27.07,1,1,1139.8,1373.1,0,0,0,-19,0
14418,-5794444.271,-524465.7293,1,100,100,27.33,26.43,1,1,1309,1352.5,0,0,0,-3,0
14419,-5793444.271,-524465.7293,1,100,100,27.9,27.05,1,1,1351.8,1378.8,0,0,0,0,0
14420,-5792444.271,-524465.7293,1,100,100,26.19,25.03,1,1,1304.5,1372.6,0,0,0,0,0
14421,-5791444.271,-524465.7293,1,100,100,23.63,22.67,1,1,1267.9,1337.5,0,0,0,0,0
14422,-5790444.271,-524465.7293,1,100,100,25.34,24.99,1,1,1250.3,1346.1,0,0,0,-7,0
14423,-5789444.271,-524465.7293,1,99,100,28.24,28.44,1,1,1277.4,1327.2,0,0,0,-66,0
14424,-5788444.271,-524465.7293,1,100,99,25.61,25.37,1,1,1217.1,1374.2,0,0,0,-21,0
14425,-5787444.271,-524465.7293,1,100,100,29.12,29.32,1,1,1341.4,1310.6,0,0,0,-2,0
14426,-5786444.271,-524465.7293,1,100,100,29.32,29.64,1,1,1200.3,1368.6,0,0,0,0,0
14427,-5785444.271,-524465.7293,1,100,100,29.2,29.49,1,1,1296.8,1405.8,0,0,0,-29,0
14428,-5784444.271,-524465.7293,1,100,100,29.67,29.67,1,1,1333.9,1368.1,0,0,0,-43,0
14429,-5783444.271,-524465.7293,1,100,100,27.41,27.14,1,1,1335.1,1406.6,0,0,0,-77,0
14430,-5782444.271,-524465.7293,1,100,100,28.74,28.38,1,1,1301.3,1348.9,0,0,0,-7,0
14431,-5781444.271,-524465.7293,1,100,100,27.59,26.85,1,1,1341.5,1349.1,0,0,0,0,0
14432,-5780444.271,-524465.7293,1,100,100,29.77,30.12,1,1,1315.1,1396.5,0,0,0,0,0
14433,-5779444.271,-524465.7293,1,100,100,30.09,30.69,1,1,1336.5,1385.4,0,0,0,-93,0
14434,-5778444.271,-524465.7293,1,100,100,29.84,30.31,1,1,1329.9,1372.1,0,0,0,-49,0
14435,-5777444.271,-524465.7293,1,100,100,28.72,29.13,1,1,1306,1386.9,0,0,0,-14,0
14436,-5776444.271,-524465.7293,1,100,100,29.01,28.61,1,1,1287.9,1335.1,0,0,0,-9,0
14437,-5775444.271,-524465.7293,1,100,100,28.73,28.52,1,1,1272.5,1330.5,0,0,0,-35,0
14438,-5774444.271,-524465.7293,1,100,100,28.65,28.89,1,1,1241,1371.4,0,0,0,-23,0
14439,-5773444.271,-524465.7293,1,100,100,28.93,28.29,1,1,1321.6,1393.8,0,0,0,-72,0
14440,-5772444.271,-524465.7293,1,100,100,28.33,27.8,1,1,1340.6,1410.4,0,0,0,-78,0
14441,-5771444.271,-524465.7293,1,100,100,28.05,27.86,1,1,1302.5,1408,0,0,0,-74,0
14442,-5770444.271,-524465.7293,1,100,100,29,28.8,1,1,1324.4,1392.5,0,0,0,-78,0
14443,-5769444.271,-524465.7293,1,100,100,28.61,27.91,1,1,1292,1408,0,0,0,-28,0
14444,-5768444.271,-524465.7293,1,100,100,28.52,28.1,1,1,1325.7,1348.6,0,0,0,4,0
14445,-5767444.271,-524465.7293,1,100,100,28.23,26.98,1,1,1356.1,1343.3,0,0,0,0,0
14446,-5766444.271,-524465.7293,1,100,100,27.62,26.63,1,1,1327.3,1405.9,0,0,0,-1,0
14447,-5765444.271,-524465.7293,1,100,100,29.22,28.5,1,1,1290.7,1395.7,0,0,0,-2,0
14448,-5764444.271,-524465.7293,1,100,100,28.19,28.55,1,1,1231.2,1388.9,0,0,0,-63,0
14449,-5763444.271,-524465.7293,1,100,100,28.95,28.35,1,1,1349.7,1400,0,0,0,-35,0
14450,-5762444.271,-524465.7293,1,100,100,26.94,25.4,1,1,1368.7,1322.9,0,0,0,-21,0
14451,-5761444.271,-524465.7293,1,100,100,29.46,28.06,1,1,1317.9,1379.3,0,0,1,-71,0
14452,-5760444.271,-524465.7293,1,100,100,28.29,27.43,1,1,1297.5,1267.7,0,0,1,-30,0
14453,-5759444.271,-524465.7293,1,100,100,28.51,27.99,1,1,1279,1380.5,0,0,1,-43,0
14454,-5758444.271,-524465.7293,1,100,100,27.25,26.15,1,1,1297.8,1360.4,0,0,1,-79,0
14455,-5757444.271,-524465.7293,1,100,100,28.25,28.23,1,1,1338.2,1286.4,0,0,1,-87,0
14456,-5756444.271,-524465.7293,1,100,100,26.88,26.68,1,1,1250.6,1325.5,0,0,1,-44,0
14457,-5755444.271,-524465.7293,1,100,100,26.94,26.15,1,1,1357.6,1336.8,0,0,1,-55,0
14458,-5754444.271,-524465.7293,1,100,100,28.12,27.57,1,1,1264.6,1300.7,0,0,1,-83,0
14459,-5753444.271,-524465.7293,1,100,100,28.13,27.02,1,1,1331.6,1349.4,0,0,1,-90,0
14460,-5752444.271,-524465.7293,1,100,100,28.03,26.9,1,1,1370.7,1360.3,0,0,1,-46,0
14461,-5751444.271,-524465.7293,1,100,100,28.25,27.68,1,1,1326.9,1402.6,0,0,1,-5,0
14462,-5750444.271,-524465.7293,1,100,100,29.86,30.07,1,1,1318.3,1351.5,0,0,1,-61,0
14463,-5749444.271,-524465.7293,1,100,100,30.03,30.09,1,1,1336.2,1348.4,0,0,1,-80,0
14464,-5748444.271,-524465.7293,1,100,100,29.54,29.52,1,1,1314.4,1379,0,0,1,-9,0
14465,-5747444.271,-524465.7293,1,100,100,28.74,28.02,1,1,1311,1360.1,0,0,1,0,0
14466,-5746444.271,-524465.7293,1,100,100,28.22,27.96,1,1,1272.6,1361.4,0,0,1,0,0
14467,-5745444.271,-524465.7293,1,100,100,29.1,28.46,1,1,1362.3,1389.9,0,0,1,0,0
14468,-5744444.271,-524465.7293,1,100,100,27.84,26.83,1,1,1312.2,1381.6,0,0,1,0,0
14469,-5743444.271,-524465.7293,1,100,100,29.04,28.53,1,1,1223.7,1391,0,0,1,0,0
14470,-5742444.271,-524465.7293,1,100,100,28.21,27.48,1,1,1271.1,1397.4,0,0,1,0,0
14471,-5741444.271,-524465.7293,1,100,100,28.31,27.76,1,1,1370.2,1281.7,0,0,1,0,0
14472,-5740444.271,-524465.7293,1,100,100,28.54,27.4,1,1,1282.6,1279.7,0,0,1,0,0
14473,-5739444.271,-524465.7293,1,100,100,29.09,27.92,1,1,1319.3,1356.9,0,0,1,0,0
14474,-5738444.271,-524465.7293,1,100,100,28.69,27.25,1,1,1344.5,1349.7,0,0,1,0,0
14475,-5737444.271,-524465.7293,1,100,100,27.44,26.34,1,1,1344.8,1371,0,0,1,0,0
14476,-5736444.271,-524465.7293,1,100,100,28.37,27.48,1,1,1367.2,1316.5,0,0,1,0,0
14477,-5735444.271,-524465.7293,1,100,100,27.87,26.99,1,1,1373.1,1345.4,0,0,1,0,0
14478,-5734444.271,-524465.7293,1,100,100,27.67,26.8,1,1,1267.8,1370.3,0,0,1,0,0
14479,-5733444.271,-524465.7293,1,100,100,27.41,26.86,1,1,1350.2,1402.7,0,0,1,0,0
14480,-5732444.271,-524465.7293,1,100,100,27.76,27.35,1,1,1318.5,1365,0,0,1,0,0
14481,-5731444.271,-524465.7293,1,100,100,28,28.02,1,1,1339.9,1401.9,0,0,1,0,0
14482,-5730444.271,-524465.7293,1,100,100,27.05,26.57,1,1,1347.3,1393.5,0,0,1,0,0
14483,-5729444.271,-524465.7293,1,100,100,28.18,27.64,1,1,1313.5,1386.6,0,0,1,0,0
14484,-5728444.271,-524465.7293,1,100,100,29.24,28.98,1,1,1216.8,1346.2,0,0,1,0,0
14485,-5727444.271,-524465.7293,1,100,100,28.6,28.79,1,1,1341.5,1362.6,0,0,1,0,0
14486,-5726444.271,-524465.7293,1,100,100,28.12,28.6,1,1,1311.4,1336.2,0,0,1,0,0
14487,-5725444.271,-524465.7293,1,100,100,28.54,29.46,1,1,1325.8,1329.7,0,0,1,0,0
14488,-5724444.271,-524465.7293,1,100,100,28.43,28.95,1,1,1297.6,1342.9,0,0,1,0,0
14489,-5723444.271,-524465.7293,1,100,100,28.19,28.82,1,1,1195.3,1236.5,0,0,1,0,0
14490,-5722444.271,-524465.7293,1,100,100,29.15,29.79,1,1,1281.2,1361.8,0,0,1,0,0
14491,-5721444.271,-524465.7293,1,100,100,27.9,28.15,1,1,1324,1343.7,0,0,1,0,0
14492,-5720444.271,-524465.7293,1,100,100,27.24,27.18,1,1,1334.7,1236.4,0,0,1,-22,0
14493,-5719444.271,-524465.7293,1,100,100,26.96,27.21,1,1,1318.9,1351.6,0,0,1,-89,0
14494,-5718444.271,-524465.7293,1,100,100,28.44,28.4,1,1,1331.8,1285.4,0,0,1,-15,0
14495,-5717444.271,-524465.7293,1,100,100,27.63,27.27,1,1,1330,1289.4,0,0,1,-47,0
14496,-5716444.271,-524465.7293,1,100,100,28.09,27.33,1,1,1303.1,1287.7,0,0,1,-52,0
14497,-5715444.271,-524465.7293,1,100,100,27.65,26.92,1,1,1304.4,1374.5,0,0,1,-79,0
14498,-5714444.271,-524465.7293,1,100,100,28.87,28.05,1,1,1300.7,1284.4,0,0,1,-17,0
14499,-5713444.271,-524465.7293,1,100,100,29.24,29.26,1,1,1302.4,1199.5,0,0,1,0,0
14500,-5712444.271,-524465.7293,1,100,100,29.38,29.28,1,1,1251.1,1301,0,0,1,0,0
14501,-5711444.271,-524465.7293,1,100,100,28.85,28.43,1,1,1304.9,1303.3,0,0,1,0,0
14502,-5710444.271,-524465.7293,1,100,100,28.3,27.64,1,1,1298.6,1334.1,0,0,1,0,0
14503,-5709444.271,-524465.7293,1,100,100,27.64,26.73,1,1,1261.6,1340.6,0,0,1,-54,0
14504,-5708444.271,-524465.7293,1,100,100,28.07,27.28,1,1,1253,1344.4,0,0,1,-13,0
14505,-5707444.271,-524465.7293,1,100,100,27.55,27.06,1,1,1264.8,1343.5,0,0,1,0,0
14506,-5706444.271,-524465.7293,1,100,100,25.49,24.6,1,1,1191,1304.2,0,0,1,0,0
14507,-5705444.271,-524465.7293,1,100,100,25.58,24.51,1,1,1244.1,1345.2,0,0,1,0,0
14508,-5704444.271,-524465.7293,1,100,100,24.97,24.2,1,1,1252.2,1361,0,0,1,0,0
14509,-5703444.271,-524465.7293,1,100,100,26.78,26.38,1,1,1252.1,1320.9,0,0,1,0,0
14510,-5702444.271,-524465.7293,1,100,100,29.58,28.81,1,1,1272.7,1297.6,0,0,1,0,0
14511,-5701444.271,-524465.7293,1,100,100,28.46,28,1,1,1216.1,1242.6,0,0,1,-8,0
14512,-5700444.271,-524465.7293,1,100,100,26.83,25.95,1,1,1236.4,1332.7,0,0,1,-17,0
14513,-5699444.271,-524465.7293,1,100,100,26.96,26.15,1,1,1176,1322.6,0,0,1,-14,0
14514,-5698444.271,-524465.7293,1,100,100,26.84,25.84,1,1,1259.7,1335.1,0,0,1,-51,0
14515,-5697444.271,-524465.7293,1,100,100,26.33,26.01,1,1,1292.7,1326.6,0,0,1,-54,0
14516,-5696444.271,-524465.7293,1,79,100,22.94,22.98,1,1,1304.4,1343.6,0,0,1,-43,0
14517,-5695444.271,-524465.7293,1,86,79,26.16,25.16,1,1,1303.8,1326.4,0,0,1,-58,0
14518,-5694444.271,-524465.7293,1,99,86,29.12,27.39,1,1,1286.8,1311.1,0,0,1,-77,0
14519,-5693444.271,-524465.7293,1,100,99,27.03,25.75,1,1,1212.8,1336.6,0,0,1,-27,0
14520,-5692444.271,-524465.7293,1,100,100,27.42,25.96,1,1,1187.1,1365.9,0,0,1,-3,0
14521,-5691444.271,-524465.7293,1,100,100,26.62,25.23,1,1,1206.2,1354.1,0,0,1,0,0
